,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
91,gazanjyk,88,TM,1555787582,61,39.24,55.52,283.407,1.12
92,kandrian,85,PG,1555787583,92,-6.21,149.55,296.307,0.87
93,novikovo,71,UA,1555787583,76,45.05,34.56,275.807,3.66
94,duleek,0,IE,1555787567,59,53.66,-6.41,292.15,1.5
95,kostino,75,BG,1555786817,75,41.7,25.3,284.26,2.6
96,tombouctou,0,ML,1555787584,7,16.77,-3.01,311.607,1.64
97,cidreira,100,BR,1555787584,48,-30.17,-50.22,300.107,2.91
98,mataura,0,NZ,1555787294,97,-46.19,168.86,281.207,0.34
99,roald,75,NO,1555787403,76,62.58,6.12,287.15,10.3
101,marathon,90,CA,1555783200,34,48.72,-86.38,282.15,5.7
102,chuy,45,UY,1555787585,64,-33.69,-53.46,293.007,6.32
103,songjianghe,86,CN,1555787585,93,42.18,127.48,275.107,1.46
104,dickinson,1,US,1555787113,39,46.88,-102.79,292.59,6.7
105,dikson,100,RU,1555787586,88,73.51,80.55,256.007,6.87
106,howick,95,ZA,1555787498,30,-29.48,30.22,293.15,1.6
107,ca mau,51,VN,1555787545,74,9.18,105.15,301.407,1.93
108,atuona,21,PF,1555787587,75,-9.8,-139.03,301.507,5.69
109,gizo,40,IL,1555787581,63,31.8,34.94,290.15,3.6
110,georgetown,75,GY,1555783200,55,6.8,-58.16,305.15,6.2
111,ancud,75,CL,1555783200,76,-41.87,-73.83,284.15,3.1
112,broken hill,100,AU,1555783200,35,-31.97,141.45,294.15,3.1
113,saint-georges,100,CA,1555786889,95,46.12,-70.67,278.71,1.34
114,carlsbad,0,CZ,1555787355,33,50.23,12.87,289.82,2.6
115,koratla,62,IN,1555787589,30,18.82,78.72,307.307,2.89
116,bordighera,0,IT,1555787262,55,43.79,7.66,294.15,6.2
118,tasiilaq,75,GL,1555782600,93,65.61,-37.64,274.15,11.8
119,chokurdakh,0,RU,1555787303,89,70.62,147.9,258.207,3.14
120,sistranda,75,NO,1555787368,71,63.73,8.83,283.15,5.7
121,hillsboro,90,US,1555787262,87,39.2,-83.61,284.82,3.6
123,yarada,0,IN,1555783200,78,17.65,83.27,298.15,1
124,lasa,20,CY,1555785000,62,34.92,32.53,288.15,2.1
125,touros,75,BR,1555783200,88,-5.2,-35.46,300.15,3.6
126,yellowknife,90,CA,1555787565,73,62.45,-114.38,269.15,3.1
127,portland,90,US,1555787348,71,45.52,-122.67,287.59,3.1
128,kenai,20,US,1555787224,64,60.55,-151.26,278.15,4.1
129,bluff,0,AU,1555787591,88,-23.58,149.07,292.807,5.95
